CosmicID	Cell.line.name	Primary_Site_GDSC1	Primary_Site_GDSC2	TCGA_label	Comment	MMR	Screen_Medium
753531	BB30-HNC	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	D/F12
753532	BB49-HNC	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	D/F12
753535	BHY	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	D/F12
1290724	BICR10	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	D/F12
1240121	BICR22	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	D/F12
1290725	BICR31	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	D/F12
1240122	BICR78	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	D/F12
753538	Ca9-22	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	D/F12
910916	CAL-27	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	D/F12
753541	CAL-33	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	D/F12
906837	Detroit562	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	D/F12
910936	DOK	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	D/F12
906863	FADU	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	D/F12
1240140	H3118	aero_dig_tract	head and neck		parotid gland tumour	MSS/MSI-L	R
907059	HN	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	D/F12
924111	HO-1-N-1	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	D/F12+10
753561	HO-1-u-1	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	D/F12+10
753562	HSC-2	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	D/F12
907062	HSC-4	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	D/F12
1240161	JHU-011	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	R
1240162	JHU-022	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	R
1298215	KON	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	D/F12
753570	KOSC-2	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	R
753583	LB771-HNC	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	D/F12
1298362	OSC-19	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	D/F12
1240196	OSC-20	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	D/F12
1240204	PCI-15A	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	R
1298529	PCI-30	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	R
1240205	PCI-38	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	R
1298531	PCI-4B	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	R
1240206	PCI-6A	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	R
1240207	PE-CA-PJ15	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	D/F12
909700	RPMI-2650	aero_dig_tract	head and neck	HNSC	nasal squamous cell carcinoma	MSS/MSI-L	D/F12
909708	SAS	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	D/F12
1299050	SAT	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	R
910911	SCC-15	aero_dig_tract	head and neck	HNSC		MSS/MSI-L	D/F12
