TF	Drug_name	Drug_id	Drug_targets	effect_size_(reg_coeff)	pval	fdr
TP53	Nutlin-3a	1047	MDM2	-0.593912535631332	1.79424349128867e-30	6.03852646993203e-26
ZEB1	Afatinib (rescreen)	1377	ERBB2, EGFR	-0.540693100008586	5.32391008292466e-15	8.95880969204147e-11
ZEB1	Afatinib	1032	ERBB2, EGFR	-0.496151248550696	3.02313447140488e-14	3.39145302117104e-10
TP53	Bleomycin (50 uM)	1378	DNA damage	-0.549538763213224	2.56174032083524e-13	2.15538426244275e-09
JUND	RDEA119	1014	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.492862404968787	3.33656606650902e-11	2.00676332777756e-07
JUND	Trametinib	1372	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.634306814349977	3.7595328982679e-11	2.00676332777756e-07
MYC	GSK-650394	177	SGK3	-0.447132806985945	4.40743788467271e-11	2.00676332777756e-07
NFE2L2	17-AAG	1026	HSP90	-0.554349945803711	4.77019956090341e-11	2.00676332777756e-07
EBF1	GSK429286A	230	ROCK2	0.299889943590846	6.64083304992424e-11	2.30427785796703e-07
MYC	Epothilone B	201	Microtubules	-0.505730746666301	6.84676231753686e-11	2.30427785796703e-07
FOXA1	KIN001-270	345	CDK9	0.251552718954889	2.32363612586419e-10	7.04494521448739e-07
MYC	Bicalutamide	150	ANDR (androgen receptor)	-0.138428084743237	2.51194005567817e-10	7.04494521448739e-07
MYC	Gemcitabine	135	DNA replication	-0.705376773220064	3.51564319702503e-10	9.10145936891364e-07
WT1	Bleomycin (50 uM)	1378	DNA damage	-0.507151874719299	4.34173920030569e-10	1.04372309133063e-06
MYC	QS11	151	ARFGAP	-0.348119696284649	7.84590310966058e-10	1.76035912770418e-06
FOXA1	FK866	1248	NAMPT	0.851430067729714	1.20461797339099e-09	2.4520570477512e-06
MYC	Zibotentan, ZD4054	266	Endothelin A Receptor	-0.126271940438589	1.3114552625025e-09	2.4520570477512e-06
MYC	T0901317	333	LXR	-0.224673313227048	1.29270737423596e-09	2.4520570477512e-06
STAT1	EHT 1864	1069	Rac GTPases	0.236324338686451	1.41884539441048e-09	2.5132232499413e-06
REST	17-AAG	1026	HSP90	0.51918360211174	1.55178777857003e-09	2.61127088438872e-06
PAX5	EX-527	341	SIRT1	0.151364197623515	1.65256530193297e-09	2.6484326303121e-06
PAX5	GSK269962A (rescreen)	1192	ROCK1, ROCK2	0.342501003786836	1.75398165672099e-09	2.68319330258841e-06
ELK1	Obatoclax Mesylate	182	BCL2, BCL2L1, MCL1	-0.41455601794911	2.00812289842372e-09	2.93840765854132e-06
IRF1	EHT 1864	1069	Rac GTPases	0.224817438127458	2.46496243149829e-09	3.45659627633645e-06
GATA3	KIN001-270	345	CDK9	0.256826780421337	2.71592114815806e-09	3.65617304965038e-06
CTCF	Docetaxel	1007	Microtubules	-0.34909891739228	3.29906922392805e-09	4.0615675436546e-06
MYC	PF-562271	158	FAK	-0.263161458409148	3.3791083411775e-09	4.0615675436546e-06
MYC	Obatoclax Mesylate	182	BCL2, BCL2L1, MCL1	-0.412297998641368	3.31268695814719e-09	4.0615675436546e-06
TFAP2C	KIN001-270	345	CDK9	0.245188598471338	4.23318839143877e-09	4.91268811427144e-06
NFKB1	EHT 1864	1069	Rac GTPases	0.226471790562661	5.24755635467191e-09	5.69698416504784e-06
SPI1	Trametinib	1372	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.830674595560959	5.12072477645477e-09	5.69698416504784e-06
HNF4A	PI-103	302	PI3Ka, PRKDC (DNAPK)	0.525115289696825	9.51451152424179e-09	1.00065901671362e-05
REST	Bleomycin (50 uM)	1378	DNA damage	0.542543591641345	1.02656211272142e-08	1.0469378152618e-05
CTCF	Bleomycin (50 uM)	1378	DNA damage	-0.439398566792525	1.21439707911612e-08	1.2020745205192e-05
USF1	Afatinib	1032	ERBB2, EGFR	0.317851969903361	1.32390737286867e-08	1.27303150382558e-05
MYC	Temozolomide	1375	DNA akylating agent	-0.171634002971748	1.54734657279902e-08	1.44655413632087e-05
RELA	EHT 1864	1069	Rac GTPases	0.227356072006817	1.72087782319588e-08	1.56530116593669e-05
PAX5	KIN001-270	345	CDK9	0.18233698889658	1.90048108480944e-08	1.68317607655952e-05
NFE2L2	GSK1070916	226	AURKB	0.502353404767262	2.11780979933296e-08	1.82756125119361e-05
GATA3	GSK429286A	230	ROCK2	0.317396747918284	2.18602805179856e-08	1.83926935208202e-05
JUND	RDEA119 (rescreen)	1526	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.365755208728063	2.44657341911036e-08	1.97197996311638e-05
SPI1	AZD6244 (rescreen)	1498	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.563523406906537	2.4609466186566e-08	1.97197996311638e-05
STAT1	MP470	293	PDGFR	0.384292442816104	2.54096948635927e-08	1.9887518154284e-05
