DRUG_ID	DRUG_NAME	SYNONYMS	BRAND_NAME	PUTATIVE_TARGET	DRUG_TYPE
1	Erlotinib	CP-358774, OSI-774, R-1415, RG-1415, Ro-508231, Tarceva	Tarceva	EGFR	targetted
3	Rapamycin	AY-22989, Rapamune, Sirolimus, Torisel, WY-090217	Rapamune	MTORC1	targetted
5	Sunitinib	SU-11248, Sunitinib Malate, Sutent	Sutent	CSF1R, FLT3, KIT, PDGFR, RET, VEGFR	targetted
6	PHA-665752	PHA 665752, PHA665752		MET	targetted
9	MG-132	LLL cpd, MG 132, MG132, zLLL		CAPN1, Proteasome	targetted
11	Paclitaxel	Abraxane, BMS-181339-01, Onxol, Paxene, Praxel, Taxol	Taxol	Microtubule stabiliser	cytotoxic
17	Cyclopamine	11-deoxojervine		SMO	targetted
29	AZ628	AZ 628, AZ-628		BRAF	targetted
30	Sorafenib	284461-73-0, BAY 43-9006, BAY-43-9006, Nexavar	Nexavar	KIT, PDGFR, RAF, VEGFR	targetted
32	VX-680	MK 0457, MK-045, MK-0457, VX-68, VX-680 VX 680 VX-68	MK-0457	AURKA, AURKB, AURKC, others	targetted
34	Imatinib	Gleevec, STI-571	Gleevec	ABL, KIT, PDGFR	targetted
35	NVP-TAE684	KIN001-017, NVP-TAE 684, TAE-684, TAE684	TAE684	ALK	targetted
37	Crizotinib	PF 2341066, PF-02341066, PF-2341066, PF2341066, Xalkori	Xalkori	ALK, MET, ROS1	targetted
38	AZD-0530	AZ-10353926, AZD-0530, AZD0530, KIN001-045, Saracatinib		ABL, SRC	targetted
41	S-Trityl-L-cysteine	NSC 83265, Tritylcysteine		KIF11	targetted
45	Z-LLNle-CHO	Gamma-Secretase Inhibitor 1, Z-L-Norleucine-CHO	na	gamma-secretase	targetted
51	Dasatinib	BMS-354825, BMS-354825-03, KIN001-005, Sprycel	Sprycel	ABL, Ephrins, KIT, PDGFR, SRC	targetted
52	GNF-2	KIN001-013, KIN001-013 (GNF-2 / 3-(6-(4-(trifluoromethoxy)phenylamino)pyrimidin-4-yl)benzamide)		BCR-ABL	targetted
53	CGP-60474	CGP 60474, CGP60474, KIN001-019		CDK1, CDK2, CDK5, CDK7, CDK9, PKC	targetted
54	CGP-082996	CINK4, KIN001-021		CDK4	targetted
55	A-770041	A770041, KIN001-111	A770041	FYN, LCK	targetted
56	WH-4-023	KIN001-112		LCK, SRC	targetted
59	WZ-1-84	KIN001-123		BMX	targetted
60	BI-2536	KIN001-124	NPK33-1-98-1	PLK1, PLK2, PLK3	targetted
62	BMS-536924	BMS 536924, KIN001-126	BMS-536924	IGF1R, IR	targetted
63	BMS-509744	ITK inhibitor, KIN001-127	BMS-509744	ITK	targetted
64	CMK	KIN001-128	Chloromethylketone Rsk inhibitor	RSK2	targetted
71	Pyrimethamine	Chloridine, Daraprim	Daraprim	Dihydrofolate reductase (DHFR)	cytotoxic
83	JW-7-52-1			MTOR	targetted
86	A-443654	KIN001-139		AKT1, AKT2, AKT3	targetted
87	GW843682X	GW843682X (AN-13), KIN001-134	GW843682X (AN-13)	PLK1	targetted
88	MS-275	MS-275, MS275		HDAC1, HDAC3	targetted
89	Parthenolide			HDAC1	targetted
91	KIN001-135	IKK-3 inhibitor, KIN001-135		IKK	targetted
94	TGX221	Tgx 221, TGX-221		PI3Kbeta	targetted
104	Bortezomib	LDP-341, PS-341, Velcade	Velcade	Proteasome	targetted
106	XMD8-85	ERK5-IN-1, XMD8-85		BET, ERK5	targetted
110	Roscovitine	AL-39256, CYC-202, Roscovitine, Seliciclib		CDK2, CDK7, CDK9	targetted
111	Salubrinal	2, 2-trichloro-1-[[(8-quinolinylamino)thioxomethyl]amino]ethyl]-2-propenamide, 3-Phenyl-N-[2, EIF-2alpha Inhibitor		EIF2A	targetted
119	Lapatinib	Tykerb, Tyverb	Tykerb, Tyverb	EGFR, ERBB2	targetted
127	GSK269962A	GSK 269962A, KIN001-155		ROCK1, ROCK2	targetted
133	Doxorubicin	Adriablastin, Adriamycin, Doxil, Doxorubicine, Rubex	Adriamycin	Anthracycline	cytotoxic
134	Etoposide	Eposin, Etopophos, Vepesid, VP-16	Etophophos	TOP2	cytotoxic
135	Gemcitabine	Gemzar, LY-188011	Gemzar	Pyrimidine antimetabolite	cytotoxic
136	Mitomycin C	Mitosol, Mitozytrex, MMC, Mytozytrex, NSC-26980		DNA crosslinker	cytotoxic
140	Vinorelbine	Exelbine, Navelbine, vinorelbine tartrate	Navelbine	Microtubule destabiliser	cytotoxic
147	NSC-87877	NSC 87877		SHP-1 (PTPN6), SHP-2 (PTPN11)	targetted
150	Bicalutamide	Casodex, Cosudex, ICI 176334, ICI-176334	Casodex	AR	targetted
151	QS11	944328-88-5, QS11		ARFGAP1	targetted
152	CP466722	[2-(6, 1080622-86-1, 2, 4-triazol-3-amine], 7-dimethoxyquinazolin-4-yl)-5-(pyridin-2-yl)-2H-1, CP 466722, CP-466722		ATM	targetted
153	Midostaurin	benzoylstaurosporine, CGP-41251, PKC 412, PKC412		c-FGR, FLT1, others, PKC, PPK	targetted
154	CHIR-99021	CHIR 99021, CHIR99021, CT 99021		GSK3A, GSK3B	targetted
155	AP-24534	AP-24534, AP24534, Iclusig, KIN001-192	Ponatinib	ABL, FGFR1, FLT3, PDGFRA, SRC, TIE2, VEGFR2	targetted
156	AZD6482	AK-55409, AZD 6482, AZD-6482, KIN001-193		PI3Kbeta	targetted
157	JNK-9L	JNK inhibitor 9l, KIN001-204		JNK2, JNK3	targetted
158	PF-562271	(KIN001-205), PF-00562271		FAK, FAK2	targetted
159	HG-6-64-1	KIN001-206		BRAF	targetted
163	JQ1	(+)-JQ-1, JQ-1, JQ1		BRD2, BRD3, BRD4, BRDT	targetted
164	JQ12	JQ12		HDAC1, HDAC2	targetted
165	DMOG	Dimethyloxalylglcine		HIF-PH	targetted
