effect_size_(reg_coeff)	pval	cancer_type_gdsc1	Drug_name	fdr	TF	Drug_targets	Drug_id
-1.10766505179277	4.93247054755425e-06	aero_dig_tract	Afatinib	0.00130710469510188	ZEB1	EGFR, ERBB2	1032
-0.718001109783769	1.68636704513343e-05	aero_dig_tract	Gefitinib	0.0022344363348018	ZEB1	EGFR	1010
1.47082856455114	0.000177233233280824	aero_dig_tract	BMS-536924	0.0234834034097092	BATF	IGF1R, IR	62
0.613279064502769	0.000162913731852	aero_dig_tract	OSI-906	0.0234834034097092	BATF	IGF1R	185
0.464288599792786	0.000183039723250544	aero_dig_tract	YM201636	0.0387813890996233	RUNX1	PYKFYVE	310
-0.562669728362216	7.3671319837006e-05	aero_dig_tract	BX-795	0.0195228997568066	RUNX2	AURKB, AURKC, IKK, PDK1 (PDPK1), TBK1	1037
0.511140206035554	0.00015329286635813	aero_dig_tract	FH535	0.0406226095849045	TCF3	PPARdelta, PPARgamma	173
-0.65709851851326	0.000116410370369119	aero_dig_tract	RDEA119	0.0308487481478166	TFAP2C	MEK1, MEK2	1014
-0.404806601867675	0.000183988548610585	aero_dig_tract	ATRA	0.0125312467349717	ZEB1	Retinoic acid	1009
-0.975548153587121	0.000189150894112781	aero_dig_tract	Afatinib (rescreen)	0.0125312467349717	ZEB1	EGFR, ERBB2	1377
0.492658512923439	0.000333724028120326	aero_dig_tract	MPS-1-IN-1	0.0387813890996233	RUNX1	MPS1	294
-0.545166056970481	0.000256877631699626	aero_dig_tract	AICAR	0.0136145144800802	ZEB1	AMPK agonist	1001
-0.586084987787163	0.000382933838063308	aero_dig_tract	RDEA119	0.0169129111811294	ZEB1	MEK1, MEK2	1014
0.464696841064791	0.000878069187161282	aero_dig_tract	NG-25	0.0387813890996233	RUNX1	MAP4K2, TAK1	260
0.426494844751373	0.00064615053168718	aero_dig_tract	NVP-BHG712	0.0387813890996233	RUNX1	EPHB4	295
0.397476745984635	0.000582909599784644	aero_dig_tract	SB52334	0.0387813890996233	RUNX1	ALK5	304
0.758163884550891	0.000867423004350339	aero_dig_tract	THZ-2-102-1	0.0387813890996233	RUNX1	CDK7	346
-0.519644800203429	0.000958689270728758	aero_dig_tract	Docetaxel	0.0318487941306938	ZEB1	Microtubule stabiliser	1007
-0.498456840630746	0.00107691124081578	aero_dig_tract	Cetuximab	0.0318487941306938	ZEB1	EGFR	1114
-0.29700046798903	0.00120861408635341	aero_dig_tract	CCT018159	0.0320282732883654	ZEB1	HSP90	1170
-0.705742457226463	0.00108165715915564	aero_dig_tract	Trametinib	0.0318487941306938	ZEB1	MEK1, MEK2	1372
0.87596168797223	5.27350876865478e-05	bone	KIN001-236	0.0139747982369352	ELF1	Angiopoietin-1 receptor	286
1.79710099816403	9.35580362774078e-05	bone	MG-132	0.0247928796135131	EWSR1-FLI1	CAPN1, Proteasome	9
0.550190665420909	5.61634290120089e-05	bone	NU-7441	0.0148833086881824	FOXI1	DNAPK	1038
-2.98810287870446	1.43554597780223e-05	bone	Bortezomib	0.00380419684117592	GATA2	Proteasome	104
-0.753079488105611	0.000150160234727124	bone	T0901317	0.0375798508453644	NHLH1	FXR, LXR	333
-0.808473684963429	0.000131585905245112	bone	ZG-10	0.0348702648899546	PAX6	JNK1	1161
-0.460773194245574	2.96971578230687e-05	bone	AZD6244 (rescreen)	0.00786974682311321	PLAG1	MEK1, MEK2	1498
