TF	Drug_name	Drug_id	Drug_targets	effect_size_(reg_coeff)	pval	fdr
TP53	Nutlin-3a	1047	MDM2	-0.571505694690162	1.58703265921363e-30	5.34115841458347e-26
ZEB1	Afatinib	1032	ERBB2, EGFR	-0.497681719054505	6.12877785879002e-15	6.87546729458594e-11
ZEB1	Afatinib (rescreen)	1377	ERBB2, EGFR	-0.532268422657156	5.19419291482779e-15	6.87546729458594e-11
MYC	GSK-650394	177	SGK3	-0.484247361629074	3.00018282447293e-13	2.52427882394091e-09
TP53	Bleomycin (50 uM)	1378	DNA damage	-0.528566302404822	8.74410005039631e-13	5.88565374392175e-09
NFE2L2	17-AAG	1026	HSP90	-0.55599598586011	7.0343634127301e-12	3.94569167759053e-08
MYC	Bicalutamide	150	ANDR (androgen receptor)	-0.144313808906686	1.29328352523897e-11	5.44068213023968e-08
MYC	QS11	151	ARFGAP	-0.378492139053051	1.22717522964466e-11	5.44068213023968e-08
JUND	Trametinib	1372	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.638353107071422	1.48993898691919e-11	5.57154406719617e-08
EBF1	GSK429286A	230	ROCK2	0.299335627117404	2.13853069245138e-11	7.19722504544512e-08
JUND	RDEA119	1014	MAP2K1 (MEK1), MAP2K2 (MEK2)	-0.485793831564944	2.59709187062895e-11	7.94592062781974e-08
MYC	Zibotentan, ZD4054	266	Endothelin A Receptor	-0.134575465822257	3.2893087284151e-11	9.22514043790086e-08
MYC	Epothilone B	201	Microtubules	-0.497661196346186	4.6531102678519e-11	1.20461866203504e-07
FOXA1	KIN001-270	345	CDK9	0.251117499157334	6.64773400221407e-11	1.59806777031796e-07
MYC	EX-527	341	SIRT1	-0.157848307449289	1.07160024482844e-10	2.40431374931341e-07
PAX5	GSK269962A (rescreen)	1192	ROCK1, ROCK2	0.356664959335055	1.21840053091713e-10	2.562829366751e-07
MYC	Obatoclax Mesylate	182	BCL2, BCL2L1, MCL1	-0.43400959491789	1.85229557601289e-10	3.66700044768905e-07
FOXA1	FK866	1248	NAMPT	0.866190924239374	2.03138548291327e-10	3.79812657930256e-07
ELK1	Obatoclax Mesylate	182	BCL2, BCL2L1, MCL1	-0.429897575616128	3.17121467369418e-10	5.61210473594818e-07
MYC	T0901317	333	LXR	-0.225952000383856	3.50183329237592e-10	5.61210473594818e-07
STAT1	EHT 1864	1069	Rac GTPases	0.237392021775833	3.38737231103605e-10	5.61210473594818e-07
GATA3	KIN001-270	345	CDK9	0.260911634609998	4.34723424629216e-10	6.65028038904375e-07
REST	17-AAG	1026	HSP90	0.514972592307239	6.77616775883769e-10	9.91530112711663e-07
HNF4A	PI-103	302	PI3Ka, PRKDC (DNAPK)	0.550048692715079	8.90560710816553e-10	1.22028815735959e-06
WT1	Bleomycin (50 uM)	1378	DNA damage	-0.485819829249702	9.06468695111866e-10	1.22028815735959e-06
MYC	PF-562271	158	FAK	-0.265335335862181	9.46160027830229e-10	1.22473137448563e-06
TFAP2C	KIN001-270	345	CDK9	0.249891957736404	9.83173725797855e-10	1.22550784228618e-06
MYC	Temozolomide	1375	DNA akylating agent	-0.180522213037984	1.16383682434254e-09	1.39889029725886e-06
MYC	Gemcitabine	135	DNA replication	-0.66311878835715	1.37060454215818e-09	1.59061020228736e-06
WT1	CHIR-99021 (rescreen)	1241	GSK3B	-0.2728909478067	1.74622865889024e-09	1.95897751716503e-06
NFKB1	EHT 1864	1069	Rac GTPases	0.222970590879918	2.08318629432869e-09	2.26160112050426e-06
PAX5	EX-527	341	SIRT1	0.147981924819521	2.36350766038838e-09	2.4857453221991e-06
CTCF	Docetaxel	1007	Microtubules	-0.338813109353069	2.9933605791059e-09	3.05277425120634e-06
JUN	EHT 1864	1069	Rac GTPases	0.247445599819341	3.35187459777685e-09	3.31786292906411e-06
